risk_id,risk_type,contract_type,clause_name,risk_description,legal_basis,modification_suggestion,impact_analysis
R001,致命风险,买卖合同,标的条款,标的物不存在或权属不清,民法典第595条、597条,明确标的物的名称、规格、数量，并核实权属,可能导致合同无效或无法履行
R002,致命风险,买卖合同,标的条款,标的物属于禁止流通物,民法典第153条,更换合法标的物或调整交易模式,合同无效，可能面临行政处罚
R003,重要风险,买卖合同,标的条款,标的物描述不明确,民法典第515条,详细描述标的物的名称、规格、型号、数量等,可能导致履行争议
R004,重要风险,买卖合同,数量条款,数量不明确或无计量单位,民法典第515条,明确数量和计量单位，可约定数量浮动范围,履行争议
R005,重要风险,买卖合同,质量条款,质量标准不明确,民法典第615-617条,明确质量标准（国标/行标/企标/样品）及验收方法,质量纠纷
R006,重要风险,买卖合同,价款条款,价款金额大小写不一致,民法典,确保大小写一致，约定不一致时的处理规则,履行争议
R007,重要风险,买卖合同,价款条款,未注明是否含税,民法典、税收相关法规,明确价款是否含税、税率、税金承担,额外成本
R008,重要风险,买卖合同,价款条款,付款条件不明确,民法典,明确付款时间、条件、方式（一次性/分期）,履行争议
R009,一般风险,买卖合同,交付条款,交付时间不明确,民法典第603条,明确交付时间（具体日期/期限/条件）,履行争议
R010,一般风险,买卖合同,交付条款,交付地点不明确,民法典第603-604条,明确交付地点，涉及运输费用承担,履行争议和费用承担
R011,重要风险,买卖合同,风险转移,风险转移点不明确,民法典第604-605条,明确风险转移的时间点（交付/验收）,损失承担争议
R012,重要风险,买卖合同,验收条款,验收标准不明确,民法典第620-623条,明确验收标准、程序、期限、不合格的处理,质量纠纷
R013,重要风险,买卖合同,违约责任,违约金过高或过低,民法典第585条,合理约定违约金，可约定违约金计算方式,可能被法院调整
R014,重要风险,买卖合同,违约责任,违约情形不完整,民法典,列举各类违约情形及对应责任,维权困难
R015,致命风险,建设工程合同,主体资质,承包人无相应资质,建筑法、建设工程司法解释,选择有资质的承包人，或调整交易模式,合同无效，质量责任
R016,致命风险,建设工程合同,主体资质,存在挂靠关系,建筑法、建设工程司法解释,调整为内部承包或合法模式,合同无效，连带责任
R017,重要风险,建设工程合同,工程范围,工程范围不明确,民法典第795条,明确工程范围、工程量清单,范围争议
R018,重要风险,建设工程合同,工期,工期不明确或无顺延机制,民法典第795、803条,明确开工竣工日期，约定顺延条件,工期纠纷
R019,重要风险,建设工程合同,质量标准,质量标准不明确,民法典第799-801条,明确质量标准（国标/图纸），约定验收程序,质量纠纷
R020,重要风险,建设工程合同,价款,价款构成不清晰,建设工程司法解释,明确价款构成（直接费+间接费+税金+利润）,价款争议
R021,重要风险,建设工程合同,付款,付款节点不合理,民法典,约定按进度付款的节点,资金压力
R022,重要风险,建设工程合同,竣工验收,竣工验收标准不明确,民法典第799条,明确验收标准、程序、期限,验收纠纷
R023,一般风险,建设工程合同,质保期,质保期未约定或过短,建设工程质量管理条例,约定合理质保期（防水5年/其他2年）,质保责任
R024,重要风险,建设工程合同,价款优先受偿权,未约定价款优先受偿权,民法典第807条,明确价款优先受偿权及行使期限,工程款回收风险
R025,致命风险,租赁合同,标的条款,租赁物不存在或出租人无权出租,民法典第703、708条,核实租赁物权属，检查是否有抵押查封,合同无效或无法履行
R026,重要风险,租赁合同,期限,租赁期限超过20年,民法典第705条,约定不超过20年的期限，可约定续租,超过部分无效
R027,重要风险,租赁合同,租金,租金金额或支付时间不明确,民法典第709、721条,明确租金金额、支付时间、方式,履行争议
R028,一般风险,租赁合同,用途,租赁用途不明确,民法典第711-713条,明确租赁用途，约定擅自改变用途的后果,使用纠纷
R029,重要风险,租赁合同,维修义务,维修义务约定不明,民法典第712、713条,明确维修义务由谁承担，维修费用如何承担,维修纠纷
R030,重要风险,租赁合同,转租,未约定是否允许转租,民法典第716条,明确是否允许转租及转租条件,转租纠纷
R031,重要风险,租赁合同,买卖不破租赁,未约定买卖不破租赁,民法典第725条,约定租赁期间所有权变动不影响租赁,承租人权益保护
R032,致命风险,借款合同,借款本金,借款未实际交付,民法典第679条,确保借款实际交付（转账凭证），避免砍头息,合同可能不成立
R033,致命风险,借款合同,利率,利率超过法律保护上限,民法典第680条,约定不超过LPR4倍的利率,超过部分无效
R034,重要风险,借款合同,利息,砍头息（预先扣除利息）,民法典第670条,按实际借款数额计算利息，不得预先扣除,本金认定争议
R035,重要风险,借款合同,还款,还款期限不明确,民法典第674-676条,明确还款期限、方式（一次性/分期/等额本息）,履行争议
R036,重要风险,借款合同,担保,担保方式不明确,民法典,明确担保方式（保证/抵押/质押）及担保范围,担保可能不成立
R037,重要风险,借款合同,民间借贷,职业放贷,民间借贷司法解释,核实出借人资格，避免职业放贷,合同可能无效
R038,致命风险,股权转让合同,标的股权,股权不存在或有瑕疵,公司法,核实股权是否存在、是否有质押查封,合同目的无法实现
R039,致命风险,股权转让合同,优先购买权,侵犯其他股东优先购买权,公司法第71条、司法解释,确保其他股东过半数同意且放弃优先购买权,合同可能被撤销
R040,重要风险,股权转让合同,转让价格,转让价格不明确或定价依据不明,公司法、民法典,明确转让价格及定价依据（评估/协商/净资产）,价款争议
R041,重要风险,股权转让合同,交割,交割日不明确,民法典,明确交割日及交割条件（价款支付/工商变更）,交割争议
R042,重要风险,股权转让合同,损益承担,交割前后损益承担不明,民法典,明确交割日前后损益由谁承担,损益承担争议
R043,重要风险,股权转让合同,陈述保证,陈述保证条款不完整,民法典,加入完整的陈述保证条款（股权、财务、诉讼等）,隐藏风险
R044,一般风险,股权转让合同,回购,股权回购条款不明确,民法典、公司法,明确回购触发条件、价格、程序,退出机制
R045,致命风险,担保合同,担保方式,担保方式约定不明,民法典第388、681条,明确担保方式（保证/抵押/质押）,担保可能不成立
R046,重要风险,担保合同,保证方式,保证方式约定不明（一般/连带）,民法典第686条,明确保证方式，未约定视为连带责任,责任范围不同
R047,重要风险,担保合同,担保范围,担保范围不明确,民法典第389条,明确担保范围（本金/利息/违约金/损害赔偿/实现担保权的费用）,担保范围争议
R048,重要风险,担保合同,保证期间,保证期间未约定,民法典第692条,约定保证期间（主债务履行期届满之日起6个月-2年）,可能丧失担保权
R049,重要风险,抵押合同,抵押财产,抵押财产不明确或被查封,民法典第395、399条,明确抵押财产，核实是否存在查封扣押,抵押可能无效
R050,重要风险,抵押合同,登记,未约定办理抵押登记,民法典第402、403条,约定由谁办理登记，未登记的风险,抵押权未设立或不能对抗第三人
R051,重要风险,劳动合同,合同形式,未采用书面形式,劳动合同法第10、82条,签订书面劳动合同，应在1个月内签订,支付二倍工资
R052,重要风险,劳动合同,试用期,试用期超过法定期限,劳动合同法第19条,约定符合规定的试用期（合同<3个月无试用期；3月-1年<1个月；1年-3年<2个月；3年以上<6个月）,试用期无效或赔偿
R053,致命风险,劳动合同,工资,工资低于最低工资标准,劳动法第48条,确保工资不低于当地最低工资标准,违法
R054,重要风险,劳动合同,工作时间,工作时间超过法定标准,劳动法第41、44条,不超过标准工时（每日8小时、每周40小时），加班支付加班费,违法
R055,重要风险,劳动合同,社会保险,未缴纳社保,社会保险法、劳动合同法,依法缴纳社保,违法，补缴责任
R056,重要风险,劳动合同,解除终止,解除程序不合法,劳动合同法,符合法定解除条件和程序，支付经济补偿,违法解除赔偿
R057,重要风险,承揽合同,工作成果,工作成果不明确,民法典第771条,明确工作成果的内容、规格、标准,履行争议
R058,重要风险,承揽合同,验收,验收标准不明确,民法典第773、774条,明确验收标准、期限、方法,质量纠纷
R059,一般风险,承揽合同,材料,材料提供约定不明,民法典第773、776条,明确材料由谁提供，费用如何承担,成本争议
R060,重要风险,承揽合同,转交第三人,未经同意转交第三人,民法典第772条,约定是否可转交第三人，需经定作人同意,质量责任
R061,重要风险,委托合同,委托事项,委托事项不明确,民法典第919条,明确委托事项的内容、范围、权限,履行争议
R062,重要风险,委托合同,代理权限,代理权限约定不明,民法典第919、920条,明确代理权限（特别授权/一般授权）,越权代理争议
