risk_id,risk_type,contract_type,clause_name,risk_description,legal_basis,modification_suggestion,impact_analysis
R079,重要风险,赠与合同,赠与意思表示,赠与是否为真实意思表示不明确，可能存在虚假赠与,民法典第657条,明确赠与为真实意思表示，可约定公证手续,可能导致赠与合同无效或被撤销
R080,致命风险,赠与合同,赠与物权属,赠与物权的权属不清,民法典第657条,核实赠与物权的权属，确保赠与人有权处分,可能导致赠与合同无法履行
R081,重要风险,赠与合同,撤销权,赠与人撤销权未约定或约定不明,民法典第663-666条,明确赠与人撤销权的行使条件和期限,受赠人可能面临赠与人行使撤销权的风险
R082,重要风险,赠与合同,瑕疵担保,赠与物瑕疵担保责任未约定,民法典第662条,约定赠与物的瑕疵担保责任,受赠人可能无法获得救济
R083,致命风险,劳务派遣合同,派遣资质,派遣单位无劳务派遣许可,劳动合同法第57条、劳务派遣暂行规定,核实派遣单位是否有劳务派遣许可,劳务派遣协议无效，可能面临行政处罚
R084,重要风险,劳务派遣合同,岗位性质,派遣岗位不符合临时性、辅助性、替代性要求,劳动合同法第66条、劳务派遣暂行规定,确保派遣岗位为临时性、辅助性、替代性岗位,可能被认定为违法派遣
R085,重要风险,劳务派遣合同,劳动报酬,同工不同酬，劳动报酬约定不明,劳动合同法第63条、劳务派遣暂行规定,明确劳动报酬分配和支付方式，确保同工同酬,可能面临劳动争议
R086,重要风险,劳务派遣合同,工伤责任,工伤责任承担不明确,劳务派遣暂行规定,明确工伤责任的承担方和赔偿方式,发生工伤时责任不清
R087,致命风险,竞业限制协议,限制范围,竞业限制范围过宽，可能无效,劳动合同法第24条、竞业限制司法解释,合理界定竞业限制的地域和行业范围,竞业限制条款可能被法院认定无效
R088,重要风险,竞业限制协议,限制期限,竞业限制期限超过2年,劳动合同法第24条,竞业限制期限不得超过2年,超过部分无效
R089,重要风险,竞业限制协议,补偿金,竞业限制补偿金未约定或低于法定标准,劳动合同法第23条,明确补偿金，不低于离职前12个月平均工资的30%,竞业限制协议可能无效，劳动者无需遵守
R090,重要风险,增资扩股协议,增资方式,增资方式（定向/公开）不明确,公司法、证券法,明确增资方式，遵守法律法规要求,可能违反公司法或证券法规定
R091,重要风险,增资扩股协议,估值方法,公司估值方法不明确或公允,公司法、国有资产评估管理办法,明确估值方法（市净率、PE、PB等），涉及国有资产需评估,估值争议，可能影响股权比例
R092,重要风险,增资扩股协议,优先认购权,未明确原股东的优先认购权,公司法第34条,明确原股东的优先认购权及行使程序,可能损害原股东权益
R093,致命风险,对赌协议,协议效力,对赌协议可能违反法律、行政法规的强制性规定,九民纪要、公司法、合同法,确保对赌协议内容合法，不违反法律强制性规定,对赌协议可能无效，无法执行
R094,重要风险,对赌协议,业绩目标,业绩目标不明确或不可量化,九民纪要,设定明确、可量化的业绩目标（净利润、营收、用户数等）,触发条件不明确，无法执行
R095,重要风险,对赌协议,估值调整,估值调整机制不清晰,九民纪要,明确估值调整的具体计算公式和方法,估值调整时产生争议
R096,重要风险,对赌协议,股权回购,股权回购条件、价格不明确,九民纪要,明确回购触发条件、回购价格计算方式,回购时产生争议
R097,重要风险,一致行动协议,一致行动范围,一致行动范围不明确或过宽,公司法、公司章程,明确一致行动的范围（提案权、表决权等）,行动范围不清，执行困难
R098,重要风险,一致行动协议,表决权委托,表决权委托期限过长或范围过大,公司法,合理约定表决权委托的期限和范围,可能损害股东独立性
R099,一般风险,一致行动协议,违约责任,违约责任过重或过轻,合同编、公司法,合理约定违约责任，平衡各方利益,违约责任不合理可能被法院调整
R100,重要风险,技术转让合同,技术内容,技术内容不明确、不具体,民法典合同编第20章,明确技术内容、技术指标、验收标准,技术内容不清，交付标准不明
R101,重要风险,技术转让合同,使用权限,使用权限不明确（独占/排他/普通）,民法典合同编第20章、专利法,明确技术使用权限类型、地域、期限,使用权限不清，可能侵犯第三方权利
R102,重要风险,技术转让合同,后续改进,后续改进的归属约定不明,民法典合同编第20章、专利法,明确后续技术改进的知识产权归属,后续改进归属争议
R103,重要风险,技术转让合同,知识产权,可能侵犯第三方知识产权,专利法、技术合同法,让与人保证拥有完整知识产权，约定侵权责任承担,可能面临第三方侵权诉讼
R104,致命风险,保险合同,保险标的,保险标的不具有保险利益,保险法第12条,核实被保险人对保险标的具有保险利益,保险合同无效
